condition,stim_transcript,filename,list
sentence,This is the best solution given all the uncertainties we face.,sentence_56.wav,1
sentence,I am not going to go pick up a horse I can't afford.,sentence_200.wav,1
sentence,"But the words did not fall out and her feelings hung inside her, preserved.",sentence_167.wav,1
sentence,Because obviously most people have never even heard of this section.,sentence_93.wav,1
sentence,"In the end, it was etiquette that decided.",sentence_130.wav,1
sentence,The ones that I made changes to are in red.,sentence_78.wav,1
sentence,I looked at the menu.,sentence_60.wav,1
sentence,"I saw lots of videos about this, but actually it didn't help.",sentence_110.wav,1
sentence,"We were waiting, waiting, watching the clock.",sentence_171.wav,1
sentence,"This particular chair is designed to help with back problems, which she has.",sentence_20.wav,1
nonword,cre lomb tifoy bues cre yaim bliner cre prellsult creir cre trotine,nonword_1.wav,1
sentence,"Downtown, there are hotels and restaurants to suit every budget.",sentence_180.wav,1
sentence,"Sighing, he threw down his cigarette and went inside, straightening his tie.",sentence_158.wav,1
sentence,"My father cleared his throat, looking out the door.",sentence_128.wav,1
sentence,"They were thorough, high class, and went above and beyond.",sentence_82.wav,1
sentence,"Beside these two buses, there is no public transport, but car rental with driver is available.",sentence_101.wav,1
sentence,Another thing that can cause a king snake to stop eating is shedding.,sentence_48.wav,1
sentence,She had a long stride though I was taller.,sentence_52.wav,1
sentence,It's cool ... it's like another family.,sentence_42.wav,1
sentence,Of course it must do financial news and sports well enough.,sentence_31.wav,1
sentence,I go out of my way to use Air France.,sentence_90.wav,1
nonword,coldist blalb dap cre olp yoap cre ub kem cre en snig,nonword_4.wav,1
sentence,Or they weren't eyewitnesses and are just lying.,sentence_1.wav,1
sentence,"One ship is very much like another, and the sea is always the same.",sentence_108.wav,1
sentence,If I could give them a lower rating than poor I would.,sentence_62.wav,1
sentence,Lay a Twister mat on the floor and ask people if they want to play.,sentence_161.wav,1
sentence,Occasionally he would bump into someone and mumble an apology.,sentence_66.wav,1
sentence,"Next, place one paper in each of the six envelopes and seal them.",sentence_126.wav,1
sentence,Very glad that we went with them.,sentence_55.wav,1
sentence,I'll be sure to come back.,sentence_118.wav,1
sentence,"Fill it halfway with books, and fill it up with lighter stuff.",sentence_166.wav,1
sentence,Those early budget efforts are his highest achievements as Governor.,sentence_69.wav,1
nonword,feged cre decuse gantance ub outmide yaim cre olsaire naments cre boin,nonword_2.wav,1
sentence,"On the third landing, a door stood ajar.",sentence_173.wav,1
sentence,He wont even get close to the crate.,sentence_107.wav,1
sentence,So we need to know the results of this debate and put them into effect.,sentence_149.wav,1
sentence,"At sixteen John escaped from the Warsaw ghetto, leaving behind his parents and his sister.",sentence_181.wav,1
sentence,"She is very conscientious about what she signs, and who initials what.",sentence_89.wav,1
sentence,"Beautiful work, fast shipping and great communication.",sentence_41.wav,1
sentence,Eventually when he found his brother he had resolution.,sentence_163.wav,1
sentence,No one online will be able to assist you more than your vet can.,sentence_23.wav,1
sentence,He makes a great point of insisting that everything in the book really happened in the world.,sentence_72.wav,1
sentence,It concentrates on combating unemployment and ensuring that everyone has a job.,sentence_133.wav,1
nonword,pleskless gor spey prorive cre olp stush loble dwere u memp mith,nonword_13.wav,1
sentence,"Lee was making his final Canadian convention appearance, part of a larger farewell tour.",sentence_154.wav,1
sentence,The staff will not even answer the phone for take out.,sentence_153.wav,1
sentence,These people only carry the very best American blown glass.,sentence_29.wav,1
sentence,"I need prices for May, June, and July.",sentence_122.wav,1
sentence,"It's not too comfortable for a man your height, Colonel.",sentence_18.wav,1
sentence,"I haven't the book handy, so I paraphrase.",sentence_176.wav,1
sentence,"There are floral, animal and bird motifs.",sentence_145.wav,1
sentence,Bea was really nice and asked how the food was.,sentence_14.wav,1
sentence,There is a proper balanced way to achieve the rights that everybody here wants to see.,sentence_142.wav,1
sentence,"He read many books, he looked at paintings, he went to the movies.",sentence_8.wav,1
sentence_repeat,Because obviously most people have never even heard of this section.,sentence_93.wav,1
sentence_repeat,"But the words did not fall out and her feelings hung inside her, preserved.",sentence_167.wav,1
sentence,I noticed there was a hole in the bottom of his pail.,sentence_17.wav,2
sentence,I will never go back.,sentence_36.wav,2
sentence,"However, all that is to no purpose.",sentence_54.wav,2
sentence,There are several reasons for this.,sentence_57.wav,2
sentence,You'll have to tell me what it's about first.,sentence_4.wav,2
sentence,I came upon this store as the building caught my eye.,sentence_79.wav,2
sentence,"As its name indicates, it was an olive grove.",sentence_50.wav,2
sentence,I've never done that before though either.,sentence_43.wav,2
sentence,James Bateman came the day I called and fixed the problem quickly and efficiently.,sentence_191.wav,2
sentence,Please approve the purchase of two.,sentence_21.wav,2
nonword,mamp udd en cre vanc las stolfs cre owseors wat im thel,nonword_3.wav,2
sentence,That's my favorite show of all time.,sentence_51.wav,2
sentence,It is my understanding that some rock will be removed and replaced with siding.,sentence_123.wav,2
sentence,economy should be good here.,sentence_46.wav,2
sentence,That's what keeps us coming back for more.,sentence_120.wav,2
sentence,"Pete was leaning against the wall, watching the street go by.",sentence_119.wav,2
sentence,His books are always hard to put down.,sentence_103.wav,2
sentence,"If no, you'll have to go to one of the train stations.",sentence_81.wav,2
sentence,"He wore round glasses, and on his forehead was a thin, lightning-shaped scar.",sentence_140.wav,2
sentence,I'll call you shortly.,sentence_84.wav,2
sentence,Your life might take on an entirely new direction you've never dreamed of.,sentence_105.wav,2
nonword,poby narsh sollter fo coed skec whos cre meeple fe pises cre,nonword_9.wav,2
sentence,Because the book after all is an attack on the dangers of the make-believe.,sentence_152.wav,2
sentence,"He could go to Paris, for example.",sentence_114.wav,2
sentence,I spoke with Gerald and he said there are a bunch of folks hanging around Dad's place.,sentence_193.wav,2
sentence,"There were no clues, no leads, no moves to be made.",sentence_100.wav,2
sentence,I was pretty sure he'd been avoiding me.,sentence_44.wav,2
sentence,Instead he went to New York.,sentence_116.wav,2
sentence,Uncle Vernon was as bad as his word.,sentence_49.wav,2
sentence,"If all this is really happening, he said, then I must keep my eyes open.",sentence_148.wav,2
sentence,"Yes, yes and yes.",sentence_68.wav,2
sentence,Harry stared at them all watching him.,sentence_12.wav,2
nonword,las grawn ub skish ruchel emer gwoyed gham u phon udd shoile,nonword_10.wav,2
sentence,I did not see the real significance of that wreck at once.,sentence_124.wav,2
sentence,And now he is also world champion.,sentence_77.wav,2
sentence,This company is way too expensive with nothing to show for it.,sentence_139.wav,2
sentence,Her flexibility and accessibility made for an easy closing.,sentence_45.wav,2
sentence,Bring some sort of magnet or small magnetic whiteboard for your door.,sentence_170.wav,2
sentence,Most ships perform this drill before even leaving the dock.,sentence_186.wav,2
sentence,"She didn't sleep, I don't think.",sentence_7.wav,2
sentence,The man looked about quickly and lowered his voice.,sentence_146.wav,2
sentence,I feel great in it.,sentence_156.wav,2
sentence,"More streamside willow and aspen have meant better habitat for beaver, for instance.",sentence_113.wav,2
nonword,dwaped crinky cre brons ik olp trum dirors olp chon wat streff,nonword_12.wav,2
sentence,A package and some wedding cards were left in our first room.,sentence_117.wav,2
sentence,It's a good starting point.,sentence_129.wav,2
sentence,She has no experience with snakes and has never held one.,sentence_144.wav,2
sentence,Kerry saved a man's life while under fire.,sentence_2.wav,2
sentence,It rained and people felt chilly on the veranda and drifted indoors.,sentence_141.wav,2
sentence,Make sure there are plenty of litter boxes that are cleaned often.,sentence_75.wav,2
sentence,A press conference will be held to discuss the consumer class action lawsuit to be filed today.,sentence_35.wav,2
sentence,"Madam President, there has clearly been a misunderstanding.",sentence_26.wav,2
sentence,"South France is wonderful, right on the Mediterranean.",sentence_185.wav,2
sentence,"In the Middle Ages, most Christians did not have access to the Bible in their mother tongue.",sentence_67.wav,2
sentence_repeat,James Bateman came the day I called and fixed the problem quickly and efficiently.,sentence_191.wav,2
sentence_repeat,I noticed there was a hole in the bottom of his pail.,sentence_17.wav,2
sentence,"For instance, you'll want to avoid making lots of jokes at your own expense.",sentence_39.wav,3
sentence,My self-esteem is a jigsaw I cannot complete.,sentence_83.wav,3
sentence,Why certain slogans work and why some don't.,sentence_95.wav,3
sentence,She handed me a shirt she bought at the stadium and she gave me a big hug.,sentence_32.wav,3
sentence,"Since that legislation came into being, there has been no noticeable difference.",sentence_73.wav,3
sentence,I also find their food way better than many other airlines.,sentence_155.wav,3
sentence,"In the winter, the talk was of trades, predictions, memories.",sentence_190.wav,3
sentence,"Short time later the guy would leave, then the girl.",sentence_86.wav,3
sentence,He is joining an excellent company.,sentence_15.wav,3
sentence,He picked one up and saw that the pages had the narrow lines he preferred.,sentence_175.wav,3
nonword,fowth shlough yir cre memp cre emto millote ub jeds crafers cre,nonword_6.wav,3
sentence,The menu has the usual but then they step it up another notch.,sentence_165.wav,3
sentence,"If not, go somewhere else.",sentence_96.wav,3
sentence,There will always be an audience for good magicians doing good magic.,sentence_58.wav,3
sentence,These statements are widely reported in the press.,sentence_135.wav,3
sentence,She put them in the sink to soak.,sentence_6.wav,3
sentence,It might be a statistical blip.,sentence_137.wav,3
sentence,"Some jokes also have what is called a tag or topper, which is an additional punchline.",sentence_194.wav,3
sentence,This particular event grows in popularity every year.,sentence_70.wav,3
sentence,"I don't know, said Quinn, taking another bite.",sentence_151.wav,3
sentence,If you want easy then go with a gold fish or hamster.,sentence_172.wav,3
nonword,olp swowling bamped cre mevys uzz cre ly triened tweted olp oth,nonword_16.wav,3
sentence,He went out in the evenings and had a good time.,sentence_22.wav,3
sentence,"He began at the beginning and went through the entire story, step by step.",sentence_53.wav,3
sentence,I'm still a beginner.,sentence_30.wav,3
sentence,We play in all aspects of the game and we hand pick our members.,sentence_71.wav,3
sentence,They called and worked with me to fix it so that it would look perfect.,sentence_97.wav,3
sentence,Her best-known stories have been made into movies.,sentence_164.wav,3
sentence,I'm assuming they are completely out of business since I can't find any contact information.,sentence_187.wav,3
sentence,"They could leave the neighborhood, perhaps leave the city altogether.",sentence_24.wav,3
sentence,"Also try green leafy veggies, like kale and spinach.",sentence_92.wav,3
sentence,My father used to tell me I had an octopus-complex.,sentence_27.wav,3
nonword,donked fo yeely ep im floinweer gert cre cre nis trum hase,nonword_5.wav,3
sentence,But in this study we present a striking exception to this otherwise robust rule.,sentence_37.wav,3
sentence,I know now where to get all of my wine and beer.,sentence_3.wav,3
sentence,For a hotel like this you would expect some form of free internet.,sentence_189.wav,3
sentence,It's not the same.,sentence_160.wav,3
